stop_id,stop_name,stop_desc,stop_lat,stop_lon
1003407,PJ245 SMK SULTAN ABD SAMAD (TIMUR),JLN UNIVERSITI,3.118566,101.645001
1001007,PJ247 MAHSA UNIVERSITY (TIMUR),JLN UNIVERSITI,3.1170217390042,101.6497825531
1004179,PJ251 UNIVERSITY TOWER,JLN BUKIT 11/2,3.113503,101.650419
1003630,PJ252 SK SULTAN ALAM SHAH 2,JLN BUKIT 11/2,3.112273,101.647177
1002142,PJ253 GERAK BUDAYA,JLN BUKIT 11/2,3.111712,101.646397
1001830,PJ343 LRT TAMAN BAHAGIA,JLN SS 2/3,3.1107429326435,101.61301934275
1002952,PJ186 RUMAH NO 57,JLN SS 4A/1,3.1078518701893,101.61127771644
1006208,PETRONAS/SHELL (OPP),JLN SS 4B/10,3.10816,101.60637
1006209,RUMAH NO 28,JLN SS 4B/10,3.10945,101.60324
1006210,KUARTERS PDRM,JLN SS 4B/10,3.10943,101.60006
1003347,PJ633 SMK KELANA JAYA,LDP,3.1090534541627,101.59607154107
1001381,PJ331 HIGHPARK SUITES,JLN SS 6/2,3.1017526230211,101.60002442637
1006211,PJ770 PANGSAPURI PKNS (OPP),JLN SS 6/3,3.102563,101.600384
1006212,DATARAN GLOMAC,JLN SS 6/3,3.10455,101.6003233
1002198,PJ506 PERUMAHAN PDRM (OPP),JLN SS 5/2,3.105075,101.600731
1003137,PJ513 WISMA REHDA,JLN SS 5/2,3.1051840616149,101.60657921929
1006213,RUMAH NO 24,JLN SS 5/1,3.10305,101.606737
1000032,7 ELEVEN,JLN SS 5/1,3.1008293895738,101.60540618171
1006214,RUMAH NO 159 (OPP),JLN SS 5A/1,3.099316,101.60424
1006227,RUMAH NO 52,JLN SS 5A/14,3.096950597,101.6049881
1006216,RUMAH NO 28,JLN SS 5A/14,3.096366,101.6057627
1003501,YAYASAN TAIWAN BUDDIST (OPP),JLN SS 5A/14,3.0961147309678,101.60702123187
1001910,PJ183 PERUMAHAN SS 5B,JLN MAJLIS,3.100139,101.607028
1002914,PJ202 PERUMAHAN SS 3,JLN SS 3/80,3.101656,101.609481
1006217,PJ203 SMK SRI PERMATA,JLN SS 3/80,3.101638,101.613569
1003552,PJ340 PERUMAHAN SS 1,JLN SS 1/36,3.104662,101.616327
1002107,PJ341 SPG SS 1/32,JLN SS 1/36,3.108606,101.616488
1003411,PJ342 SMK TAMAN SEA (OPP),JLN SS 2/3,3.110045,101.616185
1006218,PJ187 RUMAH NO 107,JLN SS 3/39,3.104773,101.612841
1001134,PJ192 SMK SRI PERMATA (OPP),SPG JLN 3/80,3.101495,101.614212
1002341,PJ194 PERUMAHAN SS 3,JLN SS 3/29,3.099624,101.610988
1000031,PJ195 KOMERSIAL SS 3,JLN SS 3/29,3.096785,101.610994
1002879,RUMAH NO 1,JLN SS 3/29,3.0915189770129,101.61117726789
1002192,PJ559 PJ ECO RECYCLE PLAZA,JLN SS 8/39,3.088571,101.614094
1002167,PJ116 PUSAT KOMERSIAL PJ21,JLN SS 8/39,3.090166,101.614831
1002969,PJ334 RUMAH NO 9,JLN SS 1/11,3.093237,101.616548
1002933,PJ335 RUMAH NO 35,JLN SS 1/11,3.095271,101.617346
1003551,PJ111 SPG SS 1/1D,JLN SS 1/1,3.095649,101.618487
1004256,PJ112 WISMA SKPPK,JLN SS 9A/1,3.092249,101.620683
1002817,PJ699 PBMM SJKC SG WAY (OPP),JLN SS 9A/1,3.0902357938885,101.62072133016
1003626,PJ113 SJKC SUNGAI WAY,JLN SS 9A/1,3.0881056103752,101.62077673948
1000837,PJ326 SEKSYEN 51A,JLN 51A/225,3.088626,101.625297
1002331,PJ327 PADANG PERMAINAN,JLN 51A/229,3.093704,101.627914
1000813,PJ720 BANGUNAN O'CONNOR (OPP),JLN 51A/227,3.100253969883,101.6321280802
1006225,WISMA JAFER ZAIDI,JLN 20/14,3.106699,101.625504
1000820,GALAXY OPTICARE,JLN 21/12,3.1087647307459,101.62376294212
1002049,PJ711 PETRON SEAPARK (OPP),JLN SS 2/24,3.1140025601091,101.62057488852
1000909,(M) PJ530 HENTIAN BANDAR UTAMA,CENTRAL PARK AVENUE,3.151359,101.613382
1000248,PJ532 ONE UTAMA LDP,LDP,3.1504336534116,101.61652418032
1007490,PJ537 FIRST AVENUE,DATARAN BANDAR UTAMA,3.146518,101.615333
1008182,SMK BANDAR UTAMA (OPP),JLN MASJID,3.142478,101.615635
1008183,PELANGI UTAMA CONDOMINIUM,JLN MASJID,3.141615,101.615396
1008184,DATARAN PELANGI UTAMA,JLN MASJID,3.139342,101.614173
1008185,SETERRA CONDOMINIUM,JLN MASJID,3.137411,101.613321
1008187,MASJID AL-MAMURIAH,JLN MASJID,3.135404,101.61252
1000036,(M) PJ726 JEJANTAS DAMANSARA UTAMA,L/RAYA SPRINT,3.1323850131623,101.62160934468
1001431,PJ723 JEJANTAS SS 22,L/RAYA SPRINT,3.1321518191064,101.62072174735
1007130,PJ818 SMK DAMANSARA JAYA (OPP),JLN SS 23/23,3.130083,101.616811
1007495,PJ508 ATRIA (OPP),JLN SS 22/41,3.128946,101.617086
1002486,PJ509 DAMANSARA JAYA (TENGAH),JLN SS 22/41,3.128182,101.620429
1001246,PJ510 KDU COLLEGE,JLN SS 22/41,3.126934,101.622458
1001248,PJ627 KDU DAMANSARA JAYA,LDP,3.1276560174203,101.62332487017
1002752,PJ581 PETRON SEAPARK,JLN SS 2/24,3.114403,101.621236
1004001,PJ626 BP SPECIALIST CENTRE,LDP,3.1156536983894,101.61411791892
1007496,PJ484 KDU (OPP),JLN SS 22/41,3.126847,101.622267
1007128,PJ490 ATRIA,JLN SS 22/41,3.128542,101.617477
1007129,SMK DAMANSARA JAYA,JLN SS 23/23,3.131484,101.616654
1007494,10 BOULEVARD,DAMANSARA LINK,3.132784,101.613496
1007493,BHP KAYU ARA,DAMANSARA LINK,3.133002,101.611273
1007492,PETRON KAYU ARA,DAMANSARA LINK,3.133325,101.611382
1007323,PJ780 MASJID KAYU ARA (OPP),JLN MASJID,3.135421,101.612393
1008186,SETERRA CONDOMINIUM (OPP),JLN MASJID,3.137216,101.61311
1007095,PJ781 PANGSAPURI PELANGI ARA (OPP),JLN MASJID,3.139109,101.613941
1007096,PJ782 SK BANDAR UTAMA DAMANSARA 2,JLN MASJID,3.14144,101.615209
1007097,PJ783 SMK BANDAR UTAMA,JLN MASJID,3.142768,101.615573
1007491,PJ536 FIRST AVENUE (OPP),DATARAN BANDAR UTAMA,3.146433,101.615092
1000990,PJ533 IKEA (BARAT),PERS SURIAN,3.154912,101.610549
1007098,PJ814 MRT MUTIARA DAMANSARA PINTU C,JLN PJU 7/1,3.156489,101.607885
1007471,PJ371 THE CURVE (OPP),JLN PJU 7/1,3.157948,101.608719
1007473,PJ372 LOTUS MUTIARA DAMANSARA (OPP),JLN PJU 7/1,3.159688,101.611884
1007474,PJ373 RITZE PERDANA,JLN PJU 7/1,3.164513,101.611072
1002810,PJ375 PERDANA SHOPPING CENTRE,JLN PJU 8/1,3.16759,101.606371
1007475,PJ817 PERDANA EXCLUSIVE CONDO,JLN PJU 8/1,3.169401,101.605361
1002036,PJ377 METROPOLITAN SQUARE,PERS PERDANA,3.1660577576591,101.60797944856
1003243,PJ644 SOPHEA RESIDENCE,PERS ARA,3.189981,101.617612
1007480,PJ21 BANDAR SRI DAMANSARA 8,PERS PERDANA,3.189215,101.616229
1002796,KOMERSIAL SRI DAMANSARA,PERS PERDANA,3.187211,101.615129
1003869,(M) PJ22 KOMERSIAL BANDAR SRI DAMANSARA 7,PERS PERDANA,3.185369,101.613436
1007482,PJ23 SJKC DESA JAYA,PERS PERDANA,3.185389,101.606998
1007484,PJ863 KOMERSIAL BANDAR SRI DAMANSARA,PERS PERDANA,3.188383,101.605487
1007486,PJ864 SD APARTMENT,PERS PERDANA,3.189776,101.605382
1007487,SK BANDAR SRI DAMANSARA,PERS PERDANA,3.191209,101.605695
1001217,PJ31 MEDAN SELERA SRI DAMANSARA,PERS PERDANA,3.19341,101.607121
1007105,PJ784 SPHERE DAMANSARA,JLN PJU 10/9,3.198239,101.59916
1008657,PJ850 THE ZIZZ,JLN PJU 10/1A,3.198234,101.596464
1002782,PJ49 APARTMENT LESTARI,JLN PJU 10/1,3.197343,101.594348
1002590,PJ52 APARTMENT IDAMAN,JLN PJU 10/1,3.190686,101.592366
1000127,PJ53 APARTMENT IMPIAN,JLN PJU 10/1,3.191978,101.588458
1000135,PJ54 APARTMENT PERMAI,JLN PJU 10/1,3.194259,101.588235
1007488,PJ55 RESIDENSI SUASANA DAMAI (OPP),JLN PJU 10/1,3.194511,101.591378
1002781,PJ62 APARTMENT LESTARI (OPP),JLN PJU 10/1,3.197228,101.594008
1001218,PJ32 MEDAN SELERA SRI DAMANSARA (OPP),PERS PERDANA,3.193598,101.607479
1008083,SK BANDAR SRI DAMANSARA (OPP),PERS PERDANA,3.19075,101.60589
1007485,MAYBANK SRI DAMANSARA (OPP),PERS PERDANA,3.188177,101.605813
1007483,PJ36 TAMAN CENTRAL SPINE SD,PERS PERDANA,3.185258,101.607655
1003870,PJ37 BANDAR SRI DAMANSARA 7,PERS PERDANA,3.185592,101.613301
1002795,KOMERSIAL SRI DAMANSARA (OPP),PERS PERDANA,3.187535,101.614998
1007481,PJ38 BANDAR SRI DAMANSARA 8,PERS PERDANA,3.189218,101.615927
1003242,PJ643 SOPHEA RESIDENCE (OPP),PERS ARA,3.190264,101.617323
1007321,PJ380 NEO DAMANSARA,JLN PJU 7/1,3.164177,101.611665
1007320,PJ381 LOTUS MUTIARA DAMANSARA,JLN PJU 7/1,3.160333,101.612264
1007472,PJ382 THE CURVE,JLN PJU 7/1,3.157901,101.609333
1007099,PJ809 MRT MUTIARA DAMANSARA PINTU B,JLN PJU 7/1,3.155687,101.608187
1007489,PJ822 OASIS BANDAR UTAMA,TENGKAT BANDAR UTAMA,3.150327,101.610151
1006026,SJ692 BRT USJ 7,PERS KEWAJIPAN,3.05345,101.5918
1006027,SJ222 SK SEAFIELD,PERS MURNI,3.0566166666667,101.58848333333
1006028,SJ408 SAM BESTARI,PERS MURNI,3.0566166666667,101.58163333333
1002885,SJ41 PERUMAHAN USJ 3,PERS TUJUAN,3.0595845142612,101.57946916498
1000787,(M) SJ45 PANGSAPURI SS19,PERS TUJUAN,3.067757044987,101.58007828518
1002512,SJ51 BALAI BOMBA SS17 (SELATAN),PERS JENGKA,3.0734869221947,101.58391769032
1006525,SJ52 LRT SS15,PERS JENGKA,3.076001,101.585977
1003696,SJ59 SUBANG PARADE,PERS KEMAJUAN,3.081309,101.585004
1006524,SJ63 LRT SUBANG JAYA,,3.084555,101.587181
1006029,EMPIRE GALLERY,JLN SS 16/1,3.0812166666667,101.58255
1002351,SJ48 WISMA CONSPLANT,PERS KEMAJUAN,3.080169,101.582523
1006030,PELITA SS15,PERS JENGKA,3.0748833333333,101.5862
1003086,SJ592 BALAI BOMBA SS17 (OPP),PERS SUBANG,3.072939,101.584061
1003666,SJ17 SS18,PERS TUJUAN,3.066983,101.580314
1003587,SJ18 USJ 2,PERS TUJUAN,3.059481,101.579814
1006031,SAM BESTARI (OPP),PERS MURNI,3.0568666666667,101.58175
1006022,SJ10 MENARA MPSJ (OPP),PERS BAKTI,3.051537,101.583487
1006023,ROZEL USJ 10,PERS IKHLAS,3.0471,101.58396666667
1006024,CITIBANK,PERS IKHLAS,3.0474833333333,101.58653333333
1006025,SJ546 LRT TAIPAN,PERS KEWAJIPAN,3.0482,101.59038333333
1009058,PANGSAPURI DE BAYU,PERS SETIA MAKMUR,3.134348,101.472918
1009059,PANGSAPURI DE PALMA,PERS SETIA MAKMUR,3.134322,101.470777
1009060,PANGSAPURI SERI PINANG,PERS SETIA GEMILANG,3.133663,101.468122
1009061,PANGSAPURI SERI INTAN,JLN SETIA GEMILANG U13/45C,3.132051,101.469794
1009062,PANGSAPURI SERI JATI,JLN SETIA GEMILANG U13/45C,3.131913,101.473084
1009022,PANGSAPURI SERI BAIDURI (OPP),JLN SETIA GEMILANG U13/47,3.128572,101.474455
1009063,KOMERSIAL SETIA 88,PERS SETIA PERDANA,3.125581,101.470766
1009019,SETIA 88 BUSINESS CENTRE,PERS SETIA UTAMA,3.125019,101.468765
1009017,SURIA IXORA APARTMENT (OPP),JLN SETIA PERDANA U13/28,3.123171,101.468395
1009015,SURIA RAFFLESIA APARTMENT,JLN SETIA PERDANA U13/28,3.122609,101.470811
1009013,CASA SUTRA,JLN SETIA PERDANA U13/28,3.118238,101.470362
